,,,,,,,Daily Price Arrival Report-16-11-2025 to 16-05-2026 for Maharashtra,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,500.00","1,100.00",Rs./Quintal,"1,008.80",Metric Tonnes,23-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,769.70,Metric Tonnes,23-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,"1,496.50",Metric Tonnes,23-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,"1,295.80",Metric Tonnes,23-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,500.00","1,100.00",Rs./Quintal,"1,544.80",Metric Tonnes,22-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,528.40,Metric Tonnes,22-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,661.20,Metric Tonnes,22-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"2,000.00","1,400.00",Rs./Quintal,"1,092.30",Metric Tonnes,21-11-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,758.90,Metric Tonnes,21-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,"1,062.10",Metric Tonnes,21-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,900.00,"2,000.00","1,450.00",Rs./Quintal,"1,235.80",Metric Tonnes,20-11-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,995.70,Metric Tonnes,20-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,300.00",950.00,Rs./Quintal,"2,163.00",Metric Tonnes,20-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,"1,335.60",Metric Tonnes,20-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,876.50,Metric Tonnes,20-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,600.00","1,200.00",Rs./Quintal,970.80,Metric Tonnes,19-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,"1,473.40",Metric Tonnes,19-11-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,"1,345.60",Metric Tonnes,19-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,700.00","1,250.00",Rs./Quintal,805.80,Metric Tonnes,18-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,532.90,Metric Tonnes,18-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,200.00",950.00,Rs./Quintal,"1,196.60",Metric Tonnes,18-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,200.00",850.00,Rs./Quintal,989.10,Metric Tonnes,18-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,700.00","1,250.00",Rs./Quintal,"1,146.30",Metric Tonnes,17-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,"1,430.00",Metric Tonnes,17-11-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,554.00,Metric Tonnes,17-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,624.70,Metric Tonnes,17-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,704.80,Metric Tonnes,17-02-2026
